A->A,A	B->B,B	C->C,C	D->D,D	E->E,E	F->F,F	G->G,G	H->H,H
1	30	54	156	204	0	86	312	68
2	31	51	139	216	1	91	323	65
3	33	48	143	208	0	93	342	66
4	31	47	132	199	1	81	333	67
5	34	54	121	196	0	91	327	70
6	30	50	140	204	2	91	322	70
7	28	56	159	219	1	97	316	57
8	31	47	138	213	0	81	324	78
9	28	47	154	204	1	87	329	67
10	31	48	143	229	1	83	306	74
11	35	44	125	226	5	84	301	83
12	29	51	152	227	0	87	316	74
13	30	49	146	201	1	78	326	70
14	32	44	155	202	1	89	317	75
15	33	46	142	198	1	79	327	66
16	28	54	141	211	1	82	335	71
17	30	50	130	206	0	81	337	72
18	31	49	156	211	3	85	314	72
19	34	55	147	207	0	88	322	69
20	31	44	147	223	1	83	330	67
21	29	49	143	212	0	88	330	72
22	30	50	156	216	2	96	314	57
23	29	50	163	224	2	82	323	73
24	29	54	140	221	1	82	302	63
25	33	50	147	207	0	91	312	74
26	30	45	135	218	0	76	328	53
27	32	49	150	212	2	86	316	58
28	32	49	154	215	0	85	303	68
29	31	46	146	234	1	89	321	66
30	28	52	157	200	4	86	334	57
31	32	54	149	199	1	86	329	66
32	31	47	150	219	1	71	330	70
33	29	49	144	213	2	80	322	75
34	29	50	149	209	1	86	339	61
35	37	53	142	210	0	84	312	69
36	31	51	160	218	5	84	335	59
37	32	51	138	210	1	88	332	70
38	31	53	133	216	1	90	312	69
39	34	49	157	211	0	86	338	63
40	32	46	144	206	2	86	320	73
41	31	49	146	216	0	85	313	69
42	32	52	141	202	3	90	320	61
43	31	51	156	213	0	84	335	64
44	36	53	134	213	3	89	337	63
45	29	58	130	205	0	93	308	69
46	29	55	145	222	1	84	310	83
47	38	50	145	215	1	80	335	60
48	31	48	135	204	0	84	324	78
49	32	47	129	227	2	85	328	66
50	30	51	142	212	0	84	322	69
