A->A,A	B->B,B	C->C,C	D->D,D	E->E,E	F->F,F	G->G,G	H->H,H
1	36	53	124	190	0	88	334	68
2	32	49	132	202	3	83	332	74
3	34	49	149	191	4	83	354	51
4	33	52	138	201	2	87	346	61
5	34	47	128	206	4	79	337	61
6	31	52	136	207	5	84	354	59
7	35	56	121	205	0	81	345	67
8	33	45	141	203	0	87	343	55
9	33	49	142	211	2	86	334	70
10	31	60	145	206	1	89	348	58
11	34	45	123	191	4	87	330	64
12	33	54	125	200	2	87	342	67
13	33	49	135	213	1	86	325	78
14	32	51	145	194	0	83	350	67
15	33	51	133	199	0	77	353	69
16	38	47	129	187	0	90	343	60
17	31	59	129	200	0	91	341	73
18	35	49	128	213	3	92	336	65
19	31	53	136	200	2	93	319	77
20	34	59	122	197	1	77	358	62
21	30	52	141	200	0	88	342	65
22	33	49	126	209	2	81	323	85
23	37	49	129	200	3	86	332	64
24	33	62	130	188	1	86	340	65
25	31	49	131	200	2	85	350	58
26	31	48	122	189	2	92	345	63
27	31	55	142	201	5	86	337	66
28	30	53	146	218	2	84	343	59
29	30	54	115	185	0	85	351	71
30	33	60	116	205	0	83	334	68
31	35	57	124	212	1	86	345	57
32	31	50	134	189	2	89	343	76
33	33	50	129	200	2	86	337	60
34	34	53	137	189	0	81	360	62
35	34	56	120	208	0	88	332	67
36	31	49	133	185	1	85	356	62
37	33	54	135	203	0	90	352	65
38	33	50	132	196	2	89	344	62
39	31	60	132	207	2	85	349	59
40	31	53	138	202	0	85	352	62
41	31	51	131	194	3	86	359	65
42	31	51	125	195	1	93	338	64
43	36	58	125	194	1	82	337	74
44	31	51	132	203	0	82	323	70
45	32	51	136	211	7	88	338	63
46	32	50	132	213	2	86	338	67
47	30	49	139	188	2	86	346	71
48	31	49	134	210	0	91	344	64
49	31	49	135	197	1	85	347	63
50	31	54	146	209	0	82	339	71
