1382	8 (A B C D E F G H)
Actinoschoenus_thouarsii	10101100
Actinoscirpus_grossus	00001100
Amphiscirpus_nevadensis	00000011
Becquerelia_cymosa	00000001
Bisboeckelera_microcephala	00000001
Blysmopsis_rufus	00010010
Blysmus_compressus	00010000
Bolboschoenus_fluviatilis	00000110
Bolboschoenus_glaucus	11111000
Bolboschoenus_maritimus	00011111
Bolboschoenus_nobilis	01100000
Bolboschoenus_planiculmis	00011100
Bolboschoenus_robustus	00000011
Bolboschoenus_yagara	00010100
Bulbostylis_atrosanguinea	00100000
Bulbostylis_barbata	11011100
Bulbostylis_burchellii	01100000
Bulbostylis_capillaris	00000011
Bulbostylis_ciliatifolia	00000011
Bulbostylis_densa	01111100
Bulbostylis_funckii	00000011
Bulbostylis_hispidula	11111001
Bulbostylis_juncoides	00000011
Bulbostylis_scabricaulis	11100000
Bulbostylis_spadicea	00100000
Bulbostylis_stenophylla	00000011
Bulbostylis_warei	00000010
Calliscirpus_criniger	00000010
Calyptrocarya_glomerulata	00000001
Capeobolus_brevicaulis	01000000
Carex_abrupta	00000010
Carex_abscondita	00000010
Carex_acaulis	00000001
Carex_acidicola	00000010
Carex_acuta	00000010
Carex_acutiformis	00010000
Carex_adelostoma	00111000
Carex_adusta	00010010
Carex_aestivalis	00000010
Carex_aethiopica	01000000
Carex_aggregata	01000000
Carex_alata	00000010
Carex_alatauensis	00010000
Carex_alba	00010000
Carex_albata	00010000
Carex_albicans	00000010
Carex_albolutescens	00000010
Carex_albonigra	00000010
Carex_albursina	00000010
Carex_alopecoidea	00000010
Carex_alopecuroides	00010100
Carex_amphibola	00000010
Carex_andringitrensis	10000000
Carex_angolensis	00100000
Carex_angustata	00000010
Carex_annectens	00000010
Carex_anthoxanthea	00010010
Carex_aperta	00010010
Carex_appalachica	00000010
Carex_appendiculata	00010100
Carex_appressa	00000100
Carex_appropinquata	00010000
Carex_aquatilis	00010010
Carex_arcta	00000010
Carex_arctata	00000010
Carex_arctiformis	00000010
Carex_arenaria	00010000
Carex_argyrantha	00000010
Carex_arnellii	00010000
Carex_assiniboinensis	00000010
Carex_astricta	00000100
Carex_asturica	00010000
Carex_asynchrona	00000010
Carex_aterrima_subsp_medwedewii	00010000
Carex_atherodes	00010010
Carex_athrostachya	00000010
Carex_atlantica	00000011
Carex_atrata	00010010
Carex_atratiformis	00000010
Carex_atrofusca	00010010
Carex_aucklandica	00000100
Carex_augustinowiczii	00010000
Carex_aurea	00000010
Carex_austroalpina	00010000
Carex_austrocaroliniana	00000010
Carex_austrocompacta	00000100
Carex_baccans	00011100
Carex_backii	00000010
Carex_badilloi	01000000
Carex_baldensis	00010000
Carex_banksiana	00000100
Carex_basutorum	01000000
Carex_bathiei	10000000
Carex_bebbii	00000010
Carex_bella	00010000
Carex_bequaertii_subsp_bequaertii	00100000
Carex_bequaertii_subsp_mossii	01000000
Carex_bicknellii	00000010
Carex_bicolor	00010010
Carex_bigelowii	00010010
Carex_binervis	00010000
Carex_blanda	00000010
Carex_blepharicarpa	00010000
Carex_bohemica	00010000
Carex_bolanderi	00000010
Carex_boliviensis	00000001
Carex_bonanzensis	00010010
Carex_bonariensis	00000001
Carex_bonatiana	00010000
Carex_borbonica	10000000
Carex_borealipolaris	00010010
Carex_boryana	10000000
Carex_bostrychostigma	00010000
Carex_brevicaulis	01000000
Carex_brevicollis	00010000
Carex_breviculmis_var_fibrillosa	00010000
Carex_brevior	00000010
Carex_breweri	00000010
Carex_brizoides	00010000
Carex_bromoides	00000010
Carex_brunnea	10110100
Carex_brunnescens	00010010
Carex_brunnescens_subsp_sphaerostachya	00000010
Carex_brysonii	00000010
Carex_buekii	00010000
Carex_bulbostylis	00000010
Carex_burchelliana	01000000
Carex_burkei	01000000
Carex_bushii	00000010
Carex_buxbaumii	00010010
Carex_calcifugens	00000010
Carex_calcis	00000100
Carex_camposii	00010000
Carex_canariensis	00010000
Carex_canescens	00010010
Carex_capensis	01000000
Carex_capillaris	00010010
Carex_capitata	00010010
Carex_capricornis	00010000
Carex_careyana	00000010
Carex_caroliniana	00000010
Carex_caryophyllea	00010000
Carex_castanea	00000010
Carex_castroviejoi	00010000
Carex_caucasica	00010000
Carex_caudata	00010000
Carex_cephaloidea	00000010
Carex_cephalophora	00000010
Carex_cercostachys	00010000
Carex_cespitosa	00010000
Carex_chlorosaccus	00100000
Carex_chordorrhiza	00010010
Carex_clavata	01000000
Carex_cognata	01100000
Carex_colchica	00010000
Carex_communis	00000010
Carex_comosa	00000010
Carex_conferta	00100000
Carex_conjuncta	00000010
Carex_conoidea	00000010
Carex_corrugata	00000010
Carex_corynoidea	00000100
Carex_crawei	00000010
Carex_crawfordii	00000010
Carex_crebriflora	00000010
Carex_cretica	00010000
Carex_crinita	00000010
Carex_crispa	00000100
Carex_cristatella	00000010
Carex_cruciata	00011100
Carex_cruenta	00011000
Carex_crus_corvi	00000010
Carex_cryptolepis	00000010
Carex_cumberlandensis	00000010
Carex_cumulata	00000010
Carex_curaica	00010000
Carex_curatorum	00000010
Carex_curvula	00010000
Carex_cusickii	00000010
Carex_cyanea	00000100
Carex_dacica	00010000
Carex_davalliana	00010000
Carex_davyi	00000010
Carex_deasyi	00010000
Carex_debilis	00010010
Carex_decomposita	00000010
Carex_deflexa	00000010
Carex_delicata	00010000
Carex_demissa	00010010
Carex_densa	00000010
Carex_depauperata	00010000
Carex_depressa	00010000
Carex_derelicta	00010000
Carex_deweyana	00000010
Carex_diandra	00010110
Carex_digitata	00010000
Carex_diluta	00010000
Carex_dioica	00010000
Carex_disperma	00010010
Carex_distachya	00010000
Carex_distans	00010000
Carex_disticha	00010000
Carex_disticha_subsp_lithophila	00010000
Carex_distincta	01000000
Carex_divisa	00010000
Carex_divulsa	00010000
Carex_doniana	00010100
Carex_drucei	00000100
Carex_durieui	00010000
Carex_duriuscula	00010110
Carex_ebenea	00000010
Carex_eburnea	00000010
Carex_echinata	00010110
Carex_echinochloe	00100000
Carex_echinochloe_subsp_nyasensis	00100000
Carex_echinodes	00000010
Carex_ecklonii	01000000
Carex_edura	00000100
Carex_edwardsiana	00000010
Carex_egmontiana	00000100
Carex_elata	00010000
Carex_elatior	10000000
Carex_eleusinoides	00010010
Carex_elgonensis	00100000
Carex_elongata	00010000
Carex_emoryi	00000010
Carex_erebus	00000100
Carex_ericetorum	00010000
Carex_erythrorrhiza	00100000
Carex_erythrovaginata	00000100
Carex_esenbeckii	00010000
Carex_exilis	00000010
Carex_extensa	00010000
Carex_fedia	00010100
Carex_ferruginea	00010000
Carex_festucacea	00000010
Carex_feta	00000010
Carex_filicina	00011100
Carex_filifolia	00000010
Carex_filipes	00010000
Carex_fimbriata	00010000
Carex_firma	00010000
Carex_fischeri	00100000
Carex_fissirostris	00010000
Carex_flacca	00011000
Carex_flaccosperma	00000010
Carex_flava	00010010
Carex_foenea	00000010
Carex_foetida	00010000
Carex_folliculata	00000010
Carex_formosa	00000010
Carex_forsteri	00000100
Carex_fracta	00000010
Carex_frankii	00000010
Carex_frigida	00010000
Carex_fritschii	00010000
Carex_fuliginosa	00010010
Carex_furva	00010000
Carex_fuscula	00000001
Carex_garberi	00000010
Carex_gholsonii	00000010
Carex_gibba	00010000
Carex_gifuensis	00010000
Carex_glacialis	00010010
Carex_glareosa	00010010
Carex_glaucodea	00000010
Carex_gmelinii	00010010
Carex_godfreyi	00000010
Carex_gongshanensis	00010000
Carex_gracilior	00000010
Carex_gracillima	00000010
Carex_graminifolia	10000000
Carex_grandiligulata	00010000
Carex_granularis	00000010
Carex_gravida	00000010
Carex_grayi	00000010
Carex_greenwayi	00100000
Carex_grioletii	00010000
Carex_grisea	00000010
Carex_gynandra	00000010
Carex_gynocrates	00010010
Carex_gynodynama	00000010
Carex_halleriana	00010000
Carex_hallii	00000010
Carex_harfordii	00000010
Carex_hartmanii	00010000
Carex_haydeniana	00000010
Carex_haydenii	00000010
Carex_healyi	00000100
Carex_heleonastes	00010010
Carex_helodes	00010000
Carex_heterodoxa	10000000
Carex_hirsutella	00000010
Carex_hirta	00010000
