generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,0.120855,-6558.7,1,0
1000,0,0.313976,-4426.2,0.0547644,0.214
2000,0,0.0705169,-4418.29,0.444157,0.143
3000,0,0.28252,-4403.54,0.186548,0.177274
4000,0,-0.0223632,-4395.46,0.30766,0.152
5000,0,-0.356407,-4387.5,0.567485,0.169
6000,0,-1.63931,-4388.76,1.65895,0.173638
7000,0,0.00738961,-4385.88,0.21499,0.194
8000,0,-0.218806,-4385.54,0.236632,0.137
9000,0,-0.37353,-4381.56,0.613709,0.154571
10000,0,-1.35245,-4381.23,1.46681,0.139
11000,0,-0.373234,-4382.81,0.675644,0.174
12000,0,-3.4832,-4379.04,1.37545,0.164653
13000,0,-1.20173,-4382.2,1.56663,0.1496
14000,0,0.330843,-4382.08,0.0290438,0.124
15000,0,-0.472121,-4381.02,0.877371,0.1456
16000,0,0.256999,-4380.42,0.136723,0.159
17000,0,0.0780068,-4381.07,0.313397,0.147
18000,0,-1.1188,-4380.96,1.51947,0.147
19000,0,0.116557,-4380.28,0.299407,0.124
20000,0,0.0432576,-4381.79,0.385109,0.137
21000,0,-0.688144,-4377.72,0.372821,0.176556
22000,0,-1.65759,-4375.67,0.177725,0.209
23000,0,-2.28386,-4375.47,0.574634,0.193
24000,0,0.445316,-4382.42,0.0180352,0.1387
25000,0,-0.470071,-4379.84,0.612231,0.15
26000,0,-0.304584,-4378.79,0.292888,0.169
27000,0,-0.088116,-4379.26,0.493935,0.139
28000,0,0.384658,-4379.24,0.0235558,0.119
29000,0,-1.02717,-4375.96,0.217109,0.16
30000,0,0.0489146,-4378.73,0.343942,0.145
31000,0,0.131972,-4380.69,0.26014,0.138
32000,0,-2.98968,-4376.72,2.01891,0.172333
33000,0,-1.8464,-4375.52,0.0599705,0.169
34000,0,-2.91192,-4374.49,0.128696,0.181545
35000,0,-0.998183,-4376.95,0.575687,0.188
36000,0,-0.353807,-4378.94,0.354398,0.159
37000,0,-0.587228,-4376.63,0.0297643,0.196
38000,0,0.367756,-4379.11,0.05133,0.143875
39000,0,-0.343299,-4383.09,0.717648,0.126
40000,0,-0.446945,-4378.38,0.827249,0.129
41000,0,-0.234701,-4378.31,0.628391,0.13
42000,0,-0.603777,-4378.01,0.987718,0.159
43000,0,0.265458,-4380.35,0.143642,0.141
44000,0,0.154355,-4377.61,0.213855,0.1425
45000,1,-2.91677,-4340.69,1.43551,0.162
46000,1,-2.29651,-4325.35,2.07095,0.249
47000,1,-0.0181348,-4330.32,0.223997,0.156
48000,1,-3.10173,-4310.11,0.383236,0.1884
49000,1,-3.7644,-4315.89,0.86419,0.20375
50000,1,-4.82596,-4316.98,2.55763,0.175
51000,1,-3.14355,-4317.28,0.778709,0.189
52000,1,-4.35157,-4317.9,0.742877,0.195
53000,1,-3.5225,-4313.55,0.475142,0.207
54000,1,-6.04433,-4313.75,1.51587,0.217476
55000,1,-3.57304,-4315.32,0.295253,0.215
56000,1,-1.55984,-4317.52,1.04543,0.150125
57000,1,-2.23922,-4310.09,1.08759,0.193
58000,1,-1.73426,-4313.11,1.45497,0.149818
59000,1,-0.636457,-4312.98,0.413831,0.148
60000,1,-1.16534,-4312.78,0.986986,0.129
61000,1,-0.746793,-4312.92,0.568447,0.161
62000,1,-1.37301,-4312.78,1.19467,0.159
63000,1,-1.58855,-4310.44,0.365283,0.148667
64000,1,-2.65001,-4310.66,1.34585,0.148
65000,1,-3.76489,-4304.52,0.763072,0.217
66000,1,-3.99542,-4306.7,2.60096,0.194
67000,1,-2.41473,-4306.91,0.703692,0.229
68000,1,-1.80398,-4315.25,1.98716,0.13625
69000,1,-1.59108,-4307.57,0.382366,0.191
70000,1,-4.74122,-4314.93,1.48754,0.212467
71000,1,-7.8142,-4309.32,2.11803,0.154222
72000,1,-3.05892,-4314.64,0.0852951,0.203
73000,1,-1.25161,-4304.92,0.49968,0.2325
74000,1,-2.8646,-4305.52,0.91912,0.218286
75000,1,-2.31356,-4307.76,0.877154,0.131333
