Species,Area
Actinoschoenus_thouarsii,AB
Actinoscirpus_grossus,B
Amphiscirpus_nevadensis,B
Becquerelia_cymosa,B
Bisboeckelera_microcephala,B
Blysmopsis_rufus,B
Blysmus_compressus,B
Bolboschoenus_fluviatilis,B
Bolboschoenus_glaucus,AB
Bolboschoenus_maritimus,B
Bolboschoenus_nobilis,B
Bolboschoenus_planiculmis,B
Bolboschoenus_robustus,B
Bolboschoenus_yagara,B
Bulbostylis_atrosanguinea,B
Bulbostylis_barbata,AB
Bulbostylis_burchellii,B
Bulbostylis_capillaris,B
Bulbostylis_ciliatifolia,B
Bulbostylis_densa,B
Bulbostylis_funckii,B
Bulbostylis_hispidula,AB
Bulbostylis_juncoides,B
Bulbostylis_scabricaulis,AB
Bulbostylis_spadicea,B
Bulbostylis_stenophylla,B
Bulbostylis_warei,B
Calliscirpus_criniger,B
Calyptrocarya_glomerulata,B
Capeobolus_brevicaulis,B
Carex_abrupta,B
Carex_abscondita,B
Carex_acaulis,B
Carex_acidicola,B
Carex_acuta,B
Carex_acutiformis,B
Carex_adelostoma,B
Carex_adusta,B
Carex_aestivalis,B
Carex_aethiopica,B
Carex_aggregata,B
Carex_alata,B
Carex_alatauensis,B
Carex_alba,B
Carex_albata,B
Carex_albicans,B
Carex_albolutescens,B
Carex_albonigra,B
Carex_albursina,B
Carex_alopecoidea,B
Carex_alopecuroides,B
Carex_amphibola,B
Carex_andringitrensis,A
Carex_angolensis,B
Carex_angustata,B
Carex_annectens,B
Carex_anthoxanthea,B
Carex_aperta,B
Carex_appalachica,B
Carex_appendiculata,B
Carex_appressa,B
Carex_appropinquata,B
Carex_aquatilis,B
Carex_arcta,B
Carex_arctata,B
Carex_arctiformis,B
Carex_arenaria,B
Carex_argyrantha,B
Carex_arnellii,B
Carex_assiniboinensis,B
Carex_astricta,B
Carex_asturica,B
Carex_asynchrona,B
Carex_aterrima_subsp_medwedewii,B
Carex_atherodes,B
Carex_athrostachya,B
Carex_atlantica,B
Carex_atrata,B
Carex_atratiformis,B
Carex_atrofusca,B
Carex_aucklandica,B
Carex_augustinowiczii,B
Carex_aurea,B
Carex_austroalpina,B
Carex_austrocaroliniana,B
Carex_austrocompacta,B
Carex_baccans,B
Carex_backii,B
Carex_badilloi,B
Carex_baldensis,B
Carex_banksiana,B
Carex_basutorum,B
Carex_bathiei,A
Carex_bebbii,B
Carex_bella,B
Carex_bequaertii_subsp_bequaertii,B
Carex_bequaertii_subsp_mossii,B
Carex_bicknellii,B
Carex_bicolor,B
Carex_bigelowii,B
Carex_binervis,B
Carex_blanda,B
Carex_blepharicarpa,B
Carex_bohemica,B
Carex_bolanderi,B
Carex_boliviensis,B
Carex_bonanzensis,B
Carex_bonariensis,B
Carex_bonatiana,B
Carex_borbonica,A
Carex_borealipolaris,B
Carex_boryana,A
Carex_bostrychostigma,B
Carex_brevicaulis,B
Carex_brevicollis,B
Carex_breviculmis_var_fibrillosa,B
Carex_brevior,B
Carex_breweri,B
Carex_brizoides,B
Carex_bromoides,B
Carex_brunnea,AB
Carex_brunnescens,B
Carex_brunnescens_subsp_sphaerostachya,B
Carex_brysonii,B
Carex_buekii,B
Carex_bulbostylis,B
Carex_burchelliana,B
Carex_burkei,B
Carex_bushii,B
Carex_buxbaumii,B
Carex_calcifugens,B
Carex_calcis,B
Carex_camposii,B
Carex_canariensis,B
Carex_canescens,B
Carex_capensis,B
Carex_capillaris,B
Carex_capitata,B
Carex_capricornis,B
Carex_careyana,B
Carex_caroliniana,B
Carex_caryophyllea,B
Carex_castanea,B
Carex_castroviejoi,B
Carex_caucasica,B
Carex_caudata,B
Carex_cephaloidea,B
Carex_cephalophora,B
Carex_cercostachys,B
Carex_cespitosa,B
Carex_chlorosaccus,B
Carex_chordorrhiza,B
Carex_clavata,B
Carex_cognata,B
Carex_colchica,B
Carex_communis,B
Carex_comosa,B
Carex_conferta,B
Carex_conjuncta,B
Carex_conoidea,B
Carex_corrugata,B
Carex_corynoidea,B
Carex_crawei,B
Carex_crawfordii,B
Carex_crebriflora,B
Carex_cretica,B
Carex_crinita,B
Carex_crispa,B
Carex_cristatella,B
Carex_cruciata,B
Carex_cruenta,B
Carex_crus_corvi,B
Carex_cryptolepis,B
Carex_cumberlandensis,B
Carex_cumulata,B
Carex_curaica,B
Carex_curatorum,B
Carex_curvula,B
Carex_cusickii,B
Carex_cyanea,B
Carex_dacica,B
Carex_davalliana,B
Carex_davyi,B
Carex_deasyi,B
Carex_debilis,B
Carex_decomposita,B
Carex_deflexa,B
Carex_delicata,B
Carex_demissa,B
Carex_densa,B
Carex_depauperata,B
Carex_depressa,B
Carex_derelicta,B
Carex_deweyana,B
Carex_diandra,B
Carex_digitata,B
Carex_diluta,B
Carex_dioica,B
Carex_disperma,B
Carex_distachya,B
Carex_distans,B
